,id,Name,games_played,minutes_played,points_scored,goals_scored,goals_attempted,3_point_scored,3_point_attempted,free_throws_scored,free_throws_attempted,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnover,season,5Yrs
0,78520,Sidney Wicks,82,39.6,24.5,9.6,22.4,,,5.4,7.6,,,4.3,,,,1971,1
1,76348,Austin Carr,43,35.8,21.2,8.9,20.8,,,3.5,4.6,,,3.4,,,,1971,1
2,78188,Elmore Smith,78,40.8,17.3,7.4,16.3,,,2.5,4.7,,,1.4,,,,1971,1
3,78200,Randy Smith,76,27.6,13.4,5.7,11.8,,,2.1,3.3,,,2.5,,,,1971,1
4,76386,Phil Chenier,81,30.6,12.3,5,12.1,,,2.2,3,,,2.5,,,,1971,1
5,78561,Nate Williams,81,26.8,11.9,5.2,12,,,1.6,2.1,,,2.1,,,,1971,1
6,77029,Fred Hilton,61,22.1,11.6,5.1,13,,,1.5,2,,,1.9,,,,1971,0
7,78028,Curtis Rowe,82,32.5,11.3,4.5,9.8,,,2.3,3.5,,,1.2,,,,1971,1
8,77580,John Mengelt,78,18.4,10,3.7,7.8,,,2.7,3.2,,,1.9,,,,1971,1
9,77570,Cliff Meely,77,23.6,9.9,4.1,10.1,,,1.7,2.6,,,1.5,,,,1971,0
10,76519,Charlie Davis,61,18.8,9.8,3.8,9.3,,,2.3,2.8,,,2,,,,1971,0
11,77350,Dennis Layton,80,23.1,9.1,3.8,9,,,1.5,2.1,,,3.1,,,,1971,1
12,78606,Dave Wohl,79,20.6,8.1,3.1,7.2,,,2,2.6,,,2.9,,,,1971,1
13,77413,Stan Love,74,17.9,7.9,3.3,7.2,,,1.4,1.9,,,0.7,,,,1971,0
14,78631,Charlie Yelverton,69,17.8,7.9,3,7.7,,,1.9,2.7,,,1.2,,,,1971,0
15,77710,Mike Newlin,82,18.2,7.6,3.1,7.5,,,1.3,1.8,,,1.6,,,,1971,1
16,77733,Willie Norwood,78,16.3,7.5,2.8,5.6,,,1.8,2.8,,,0.6,,,,1971,1
17,77917,Clifford Ray,82,22.8,7,2.7,5.4,,,1.6,2.7,,,3.1,,,,1971,1
18,78366,George Trapp,60,14.8,6.6,2.4,6.5,,,1.8,2.3,,,0.9,,,,1971,1
19,77875,Howard Porter,67,10.9,6,2.6,6,,,0.9,1.1,,,0.4,,,,1971,1
20,78245,Larry Steele,72,18.2,5.1,2.1,4.3,,,1,1.3,,,2.2,,,,1971,1
21,77578,Dean Meminger,78,15,4.6,1.8,3.8,,,1,1.8,,,1.3,,,,1971,1
22,77534,Gil McGregor,42,12.7,4.1,1.6,4.3,,,0.9,1.3,,,0.4,,,,1971,0
23,76923,Jeff Halliburton,37,7.8,4,1.6,3.6,,,0.7,0.8,,,0.5,,,,1971,0
24,76807,Dick Gibbs,64,11.8,3.7,1.4,4.1,,,0.9,1,,,0.8,,,,1971,0
25,78580,Isaiah Wilson,48,6.7,3.5,1.3,3.7,,,0.9,1.2,,,0.9,,,,1971,0
26,77812,Steve Patterson,65,11.9,3.2,1.4,4,,,0.4,0.7,,,0.8,,,,1971,0
27,77540,Kenny McIntosh,43,9.4,3.1,1.3,3.9,,,0.5,1,,,0.4,,,,1971,0
28,77466,Jim Marsh,39,9.6,3.1,1,3,,,1.1,1.5,,,0.8,,,,1971,0
29,77965,Rich Rinaldi,39,4.1,2.7,1.1,2.7,,,0.5,0.8,,,0.4,,,,1971,0
30,76402,Jim Cleamons,38,5.3,2.6,0.9,2.6,,,0.7,0.9,,,0.9,,,,1971,1
31,76029,Odis Allison,36,4.6,1.9,0.5,2.2,,,0.9,1.7,,,0.3,,,,1971,0
32,76118,Vic Bartolome,38,4.3,0.9,0.4,1.6,,,0.1,0.1,,,0.1,,,,1971,0
0,77844,Geoff Petrie,82,37,24.8,9.6,21.6,,,5.6,7.3,,,4.8,,,,1970,1
1,77459,Pete Maravich,81,36.1,23.2,9.1,19.9,,,5,6.2,,,4.4,,,,1970,1
2,76462,Dave Cowens,81,38,17,6.8,16.1,,,3.4,4.6,,,2.8,,,,1970,1
3,77152,John Johnson,67,34.5,16.6,6.5,15.4,,,3.6,4.4,,,4.8,,,,1970,1
4,76054,Nate Archibald,82,35,16,5.9,13.4,,,4.1,5.4,,,5.5,,,,1970,1
5,77669,Calvin Murphy,82,24.6,15.8,5.7,12.5,,,4.3,5.3,,,4,,,,1970,1
6,600005,Bob Lanier,82,24.6,15.6,6.1,13.5,,,3.3,4.6,,,1.8,,,,1970,1
7,77326,Sam Lacey,81,32.7,13.5,5.8,13.8,,,1.9,2.8,,,1.4,,,,1970,1
8,76012,Don Adams,82,29,11.4,4.8,11.7,,,1.9,2.6,,,2.1,,,,1970,1
9,77080,John Hummer,81,32.6,11.3,4.2,9.4,,,2.9,5,,,2,,,,1970,1
10,78220,Dave Sorenson,79,24.6,11.3,4.5,10.1,,,2.3,2.9,,,2.1,,,,1970,0
11,77554,Jim McMillian,81,21.6,8.4,3.6,7.8,,,1.2,1.6,,,1.6,,,,1970,1
12,76477,Pete Cross,79,27.8,8,3.1,7,,,1.8,2.6,,,1.4,,,,1970,0
13,78469,Bobby Washington,47,17.5,7.4,2.6,6.6,,,2.2,3,,,4,,,,1970,0
14,76078,Dennis Awtrey,70,18.5,7.2,2.9,6,,,1.5,2.2,,,1.3,,,,1970,1
