,id,Name,games_played,minutes_played,points_scored,goals_scored,goals_attempted,3_point_scored,3_point_attempted,free_throws_scored,free_throws_attempted,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnover,season,5Yrs
0,2406,Caron Butler,78,36.6,15.4,5.5,13.2,0.4,1.4,4,4.8,1.7,3.4,2.7,1.8,0.4,2.5,2002,1
1,2405,Amar'e Stoudemire,82,31.3,13.5,4.8,10.1,0,0.1,3.9,5.9,3,5.7,1,0.8,1.1,2.3,2002,1
2,2397,Yao Ming,82,29,13.5,4.9,9.8,0,0,3.7,4.5,2.4,5.8,1.7,0.4,1.8,2.1,2002,1
3,2402,Dajuan Wagner,47,29.5,13.4,4.7,12.9,1.2,3.7,2.7,3.4,0.4,1.3,2.8,0.8,0.1,1.8,2002,0
4,2400,Drew Gooden,70,26.8,12.5,5.1,11.1,0.2,0.7,2.2,3,2.3,4.2,1.2,0.8,0.5,2.1,2002,1
5,1921,Gordan Giricek,76,28.3,12.3,4.6,10.6,1.1,3.3,2,2.4,0.5,2.7,1.8,0.7,0.1,1.9,2002,1
6,2403,Nene,80,28.2,10.5,4,7.7,0,0,2.5,4.3,2.6,3.5,1.9,1.6,0.8,2.3,2002,1
7,2430,Carlos Boozer,81,25.3,10,4.1,7.6,0,0,1.8,2.4,2.5,5,1.3,0.7,0.6,1.3,2002,1
8,2398,Jay Williams,75,26.1,9.5,3.6,9.1,0.9,2.7,1.4,2.1,0.4,2.2,4.7,1.1,0.2,2.3,2002,0
9,2452,J.R. Bremer,64,23.5,8.3,2.7,7.3,1.6,4.5,1.3,1.7,0.3,2,2.6,0.6,0,0.9,2002,0
10,1938,Manu Ginobili,69,20.7,7.6,2.5,5.8,0.7,2.1,1.8,2.5,0.7,1.7,2,1.4,0.2,1.4,2002,1
11,2446,Rasual Butler,72,21,7.5,2.9,7.9,0.7,2.4,1.1,1.4,0.4,2.2,1.3,0.3,0.6,1.1,2002,1
12,2060,Marko Jaric,66,20.9,7.4,2.7,6.8,0.8,2.5,1.2,1.6,0.5,1.9,2.9,1.5,0.2,1.6,2002,1
13,2428,Vincent Yarbrough,59,23.4,6.9,2.8,7.3,0.4,1.3,0.8,1.1,0.6,2.1,2.2,1,0.6,1.4,2002,0
14,2246,Mehmet Okur,72,19,6.9,2.5,5.9,0.5,1.6,1.3,1.8,1.6,3,1,0.3,0.5,0.9,2002,1
15,2413,Juan Dixon,42,15.4,6.4,2.5,6.5,0.6,2,0.9,1.1,0.3,1.4,1,0.6,0.1,1,2002,1
16,2471,Mike Batiste,75,16.6,6.4,2.6,6.2,0.2,1.1,0.9,1.2,1.1,2.3,0.7,0.6,0.2,0.9,2002,0
17,2470,Smush Parker,66,16.7,6.2,2.1,5.1,0.6,1.8,1.5,1.8,0.4,1.4,2.5,0.7,0.2,2,2002,1
18,2399,Mike Dunleavy,82,15.9,5.7,2,5.1,0.6,1.8,1,1.2,0.8,1.8,1.3,0.6,0.2,1,2002,1
19,2418,Casey Jacobsen,72,15.9,5.1,1.7,4.5,0.7,2.3,1,1.5,0.4,0.8,1,0.5,0.1,0.8,2002,1
20,2454,Junior Harrington,82,24.4,5.1,2.1,5.7,0.1,0.3,0.9,1.4,0.5,2.5,3.4,1,0.2,1.9,2002,0
21,2253,Sean Lampley,35,13.9,4.8,1.6,3.7,0,0.1,1.6,2.3,0.7,1.6,0.9,0.2,0.1,0.7,2002,0
22,2437,Lonny Baxter,55,12.4,4.8,1.7,3.7,0,0,1.3,1.9,1.2,1.8,0.3,0.2,0.4,0.8,2002,0
23,2408,Melvin Ely,52,15.4,4.5,1.8,3.6,0,0,1,1.4,1.2,2.1,0.3,0.2,0.6,1,2002,1
24,2469,Pat Burke,62,12.6,4.3,1.8,4.8,0,0.1,0.6,0.9,0.9,1.4,0.4,0.3,0.4,0.8,2002,0
25,2409,Marcus Haislip,39,11.3,4.1,1.7,3.9,0.1,0.3,0.7,1,0.5,0.8,0.2,0.2,0.5,0.5,2002,1
26,2401,Nikoloz Tskitishvili,81,16.3,3.9,1.4,4.9,0.5,1.9,0.6,0.8,0.8,1.4,1.1,0.4,0.4,1,2002,0
27,2423,Chris Jefferies,51,13.1,3.9,1.5,3.8,0.4,1.1,0.6,0.8,0.3,0.8,0.4,0.4,0.3,0.9,2002,0
28,2404,Chris Wilcox,46,10.4,3.7,1.6,3,0,0,0.5,1.1,0.7,1.6,0.5,0.2,0.3,0.6,2002,1
29,2424,Dan Dickau,50,10.3,3.7,1.4,3.4,0.4,1.2,0.4,0.5,0.2,0.7,1.7,0.3,0,1.1,2002,1
30,2429,Dan Gadzuric,49,15.5,3.4,1.4,3,0,0,0.6,1.1,1.3,2.7,0.2,0.4,1.1,0.6,2002,1
31,2419,Tayshaun Prince,42,10.4,3.3,1.3,2.8,0.5,1.1,0.3,0.4,0.1,1,0.6,0.2,0.3,0.5,2002,1
32,2366,Mike Wilks,46,15,3.2,1.1,3.2,0.2,0.8,0.8,1,0.4,1.1,2,0.6,0.1,0.6,2002,1
33,2501,Reggie Evans,67,20.4,3.2,1,2.1,0,0,1.2,2.3,2.5,4.1,0.5,0.6,0.2,0.8,2002,1
34,2416,Kareem Rush,76,11.5,3,1.3,3.2,0.3,0.9,0.2,0.3,0.3,0.9,0.9,0.1,0.1,0.8,2002,1
35,2447,Tamar Slay,36,7.6,2.6,1.1,2.9,0.2,0.7,0.2,0.3,0.2,0.6,0.4,0.4,0.1,0.6,2002,0
36,2417,Qyntel Woods,53,6.3,2.4,1.1,2.2,0.1,0.2,0.1,0.4,0.3,0.7,0.2,0.3,0,0.4,2002,0
37,1038,Juaquin Hawkins,58,11.8,2.3,1,2.6,0.2,0.4,0.2,0.3,0.3,1.1,0.8,0.5,0.1,0.5,2002,0
38,2422,John Salmons,64,7.9,2.1,0.8,1.8,0.2,0.5,0.4,0.5,0.3,0.7,0.7,0.3,0.1,0.5,2002,1
39,2415,Ryan Humphrey,48,9.3,1.9,0.7,2.5,0,0,0.5,0.8,0.7,1.4,0.2,0.2,0.4,0.5,2002,0
40,2080,Igor Rakocevic,42,5.8,1.9,0.5,1.4,0.1,0.3,0.7,0.9,0.1,0.3,0.8,0.1,0,0.5,2002,0
41,2412,Jiri Welsch,37,6.3,1.6,0.5,2,0,0.1,0.6,0.8,0.3,0.4,0.7,0.2,0.1,0.5,2002,0
42,2492,Adam Harrington,19,5.8,1.6,0.6,1.9,0.3,0.7,0.2,0.2,0.1,0.4,0.6,0.1,0.1,0.1,2002,0
43,981,Efthimios Rentzias,35,4.1,1.5,0.6,1.7,0.1,0.2,0.2,0.3,0.3,0.5,0.2,0.2,0.1,0.1,2002,0
