name,games_played,minutes_played,points_scored,goals_scored,goals_attempted,free_throws_scored,free_throws_attempted,assists,3_point_scored,3_point_attempted,offensive_rebounds,defensive_rebounds,steals,blocks,turnover,5yrs
Brandon Ingram,36,27.4,7.4,2.6,7.6,1.6,2.3,1.9,0.5,2.1,0.7,3.4,0.4,0.4,1.3,0
Andrew Harrison,35,26.9,7.2,2,6.7,2.6,3.4,3.7,0.7,2.8,0.5,2,1.1,0.5,1.6,0
JaKarr Sampson,74,15.3,5.2,2,4.7,0.9,1.3,1,0.4,1.7,0.5,1.7,0.5,0.3,1,0
Malik Sealy,58,11.6,5.7,2.3,5.5,0.9,1.3,0.8,0.1,0.5,1,0.9,0.6,0.1,1,1
Matt Geiger,48,11.5,4.5,1.6,3,1.3,1.9,0.3,0,0.1,1,1.5,0.3,0.4,0.8,1
Tony Bennett,75,11.4,3.7,1.5,3.5,0.4,0.5,1.8,0.3,1.1,0.2,0.7,0.4,0,0.7,0
Don MacLean,62,10.9,6.6,2.5,5.8,1.5,1.8,0.6,0,0.1,0.5,1.4,0.2,0.1,0.7,1
Tracy Murray,48,10.3,5.7,2.3,5.4,0.7,0.8,0.2,0.4,1.5,0.8,0.9,0.2,0.1,0.7,1
Duane Cooper,65,9.9,2.4,1,2.4,0.4,0.5,2.3,0.1,0.5,0.2,0.6,0.3,0,1.1,0
Dave Johnson,42,8.5,3.7,1.4,3.5,1,1.4,0.3,0.1,0.3,0.4,0.7,0.2,0,0.7,0
Corey Williams,35,6.9,2.3,0.9,2.4,0.5,0.6,0.7,0,0.1,0.5,0.3,0.1,0.1,0.3,0
Sam Mack,40,6.7,3.6,1.2,3,1.1,1.5,0.4,0.1,0.6,0.5,0.8,0.3,0.1,0.6,1
Lorenzo Williams,27,6.6,1.3,0.6,1.3,0.1,0.3,0.2,0,0,0.6,1.4,0.2,0.6,0.3,1
P.J. Hairston,45,15.3,5.6,1.9,6,0.7,0.8,0.5,1.1,3.6,0.5,1.6,0.5,0.3,0.5,0
Elmore Spencer,44,6.4,2.4,1,1.9,0.4,0.7,0.2,0,0,0.4,1,0.2,0.4,0.6,1
John Crotty,40,6.1,2.6,0.9,1.8,0.7,1,1.4,0.1,0.4,0.1,0.3,0.3,0,0.8,1
Stephen Howard,49,5.3,2.1,0.7,1.9,0.7,1.1,0.2,0,0,0.5,0.7,0.3,0.2,0.5,0
Randy Woods,41,4.2,1.7,0.6,1.6,0.5,0.6,1,0.1,0.3,0.1,0.2,0.3,0,0.4,0
Larry Johnson,82,37.2,19.2,7.5,15.3,4.1,5,3.6,0.1,0.3,3.9,7,1,0.6,1.9,0
Billy Owens,80,31.4,14.3,5.9,11.1,2.6,3.9,2.4,0,0.1,3,5,1.1,0.8,2.2,1
Stacey Augmon,82,30.5,13.3,5.4,11,2.6,3.9,2.5,0,0.1,2.3,2.8,1.5,0.3,2.2,1
Mark Macon,76,30.3,10.6,4.4,11.7,1.8,2.4,2.2,0.1,0.4,1.1,1.8,2,0.2,2,1
Steven Smith,61,29.6,12,4.9,10.7,1.6,2.1,4.6,0.7,2,1.3,1.8,1,0.3,2.5,0
Mitch McGary,32,15.2,6.3,2.8,5.2,0.8,1.3,0.4,0,0.1,1.7,3.5,0.5,0.5,1,0
Larry Stewart,76,29.3,10.4,4,7.8,2.5,3.1,1.6,0,0,2.4,3.5,0.7,0.6,1.5,1
Mike Iuzzolino,52,24.6,9.3,3.1,6.8,2.1,2.5,3.7,1.1,2.6,0.5,1.4,0.6,0,1.8,0
Paul Graham,78,22,10.1,3.9,8.7,1.6,2.2,2.2,0.7,1.8,0.9,2,1.2,0.3,1.2,0
Donald Hodge,51,20.7,8.4,3.2,6.4,2,2.9,0.8,0,0,2.3,3.1,0.5,0.5,1.5,1
Dale Davis,64,20.3,6.2,2.4,4.4,1.4,2.4,0.5,0,0,2.5,3.9,0.4,1.2,0.8,1
Stanley Roberts,55,20.3,10.4,4.3,8.1,1.8,3.6,0.7,0,0,2.1,4.1,0.4,1.5,1.4,1
Terrell Brandon,82,19.6,7.4,3.1,7.3,1.2,1.5,3.9,0,0.3,0.6,1.4,1,0.3,1.7,1
Bison Dele,48,18.9,9.1,3.6,6.8,2,3,0.7,0,0,2.4,3.3,0.8,1.1,1.8,1
Spencer Dinwiddie,34,13.4,4.3,1.5,5,0.9,1,3.1,0.4,1.9,0.1,1.3,0.6,0.2,1,0
