,id,Name,games_played,minutes_played,points_scored,goals_scored,goals_attempted,3_point_scored,3_point_attempted,free_throws_scored,free_throws_attempted,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnover,season,5Yrs
0,166,Ron Harper,82,37.4,22.9,9,19.7,0.2,1.1,4.7,6.9,2.1,2.7,4.8,2.5,1,4.2,1986,1
1,456,Chuck Person,82,36,18.8,7.7,16.6,0.6,1.7,2.7,3.6,2,6.2,3.6,1.1,0.2,2.6,1986,1
2,76158,Walter Berry,63,25.2,15.9,6.5,12.2,0,0,3,4.6,2.2,2.7,1.7,0.6,0.6,2.4,1986,0
3,921,Brad Daugherty,80,33.7,15.7,6.1,11.3,0,0,3.5,5,1.9,6.2,3.8,0.6,0.8,3.1,1986,1
4,73,Hot Rod Williams,80,33.9,14.6,5.4,11.2,0,0,3.7,5,2.8,5.1,1.9,0.7,2.1,1.7,1986,1
5,78440,Kenny Walker,68,25.3,10.4,4.2,8.5,0,0.1,2.1,2.7,1.7,3.2,1.1,0.7,0.7,1.1,1986,1
6,1008,Johnny Dawkins,81,20.8,10.3,4.1,9.4,0.2,0.6,1.9,2.4,0.7,1.4,3.6,0.8,0,1.5,1986,1
7,78554,John Williams,78,22.7,9.2,3.6,8,0.1,0.5,1.8,2.9,1.7,3,2.4,1.7,0.4,1.6,1986,1
8,766,David Wingate,77,20.9,8.8,3.4,7.8,0.2,0.7,1.9,2.6,0.9,1.1,2,1.2,0.2,1.7,1986,1
9,78465,Dwayne Washington,72,22.2,8.6,3.6,7.5,0.1,0.3,1.4,1.7,0.5,1.3,4.2,1.3,0.1,2.4,1986,0
10,78110,Brad Sellers,80,21.9,8.5,3.5,7.6,0,0.1,1.6,2.2,1.9,2.7,1.3,0.6,0.9,1.1,1986,1
11,76019,Mark Alarie,64,17.3,7.9,3.4,6.9,0,0.1,1,1.6,1.1,2.2,1.2,0.3,0.4,0.9,1986,0
12,78293,Roy Tarpley,75,18.7,7.5,3.1,6.7,0,0,1.3,1.9,2.4,4.7,0.7,0.7,1.1,1.3,1986,1
13,899,Mark Price,67,18.2,6.9,2.6,6.3,0.3,1,1.4,1.7,0.5,1.3,3,0.6,0.1,1.6,1986,1
14,76138,William Bedford,50,19.6,6.7,2.8,7.2,0,0,1,1.7,1.6,3.3,1.1,0.4,0.7,1.7,1986,1
15,76412,Ben Coleman,68,15.1,6.6,2.7,4.6,0,0,1.3,1.8,1.5,2.8,0.5,0.5,0.5,1.4,1986,1
16,1474,Larry Krystkowiak,68,14.8,6.6,2.5,5.5,0,0.2,1.6,2.2,1.1,2.4,1.3,0.3,0.2,1,1986,1
17,23,Dennis Rodman,77,15,6.5,2.8,5.1,0,0,1,1.6,2.1,2.2,0.7,0.5,0.6,1.2,1986,1
18,912,Rafael Addison,62,11.5,5.8,2.4,5.3,0.3,0.8,0.8,1,0.7,1,0.7,0.4,0.1,0.9,1986,1
19,1631,Billy Thompson,59,12.9,5.6,2.4,4.4,0,0,0.8,1.3,1.2,1.7,1,0.3,0.5,1,1986,1
20,76831,Grant Gondrezick,64,13.1,5.5,2.1,4.7,0.1,0.3,1.2,1.7,0.7,1,1.3,0.4,0.1,0.9,1986,0
21,404,Kevin Duckworth,65,13.5,5.4,2,4.2,0,0,1.4,2.1,1.2,2.3,0.4,0.3,0.3,1.2,1986,1
22,204,Jeff Hornacek,80,19.5,5.3,2,4.4,0.2,0.5,1.2,1.5,0.5,1.8,4.5,0.9,0.1,1.9,1986,1
23,927,John Salley,82,17.8,5.3,2,3.5,0,0,1.3,2.1,1.3,2.3,0.7,0.5,1.5,0.9,1986,1
24,203,Nate McMillan,71,27.8,5.3,2,4.2,0,0.1,1.2,2,1.4,3.2,8.2,1.8,0.6,2.2,1986,1
25,930,Kenny Gattison,77,14.3,5.2,1.9,4,0,0,1.4,2.2,1.1,2.4,0.5,0.3,0.4,1.1,1986,1
26,77173,Anthony Jones,65,13.2,5,2,5,0.1,0.3,0.8,1,0.6,1,1.1,0.6,0.3,0.8,1986,0
27,271,Johnny Newman,59,10.7,5,1.9,4.7,0,0.4,1.1,1.3,0.6,0.6,0.5,0.3,0.1,0.8,1986,1
28,209,Dell Curry,67,9.5,4.9,2.1,4.9,0.3,0.9,0.4,0.6,0.4,0.7,0.9,0.4,0.1,0.7,1986,1
29,77881,Harold Pressley,67,13.6,4.6,2,4.7,0.1,0.4,0.5,0.7,1,1.6,1.8,0.6,0.3,0.9,1986,0
30,1118,Tim Kempton,66,14.2,4.4,1.5,3.1,0,0,1.4,2.1,1.1,1.9,0.8,0.6,0.2,0.7,1986,1
31,78007,Johnny Rogers,45,10.4,4.2,2,4.1,0,0.1,0.2,0.3,0.7,1,0.6,0.2,0.2,0.4,1986,0
32,1479,Mike Brown,62,13.2,4.2,1.7,3.2,0,0,0.7,1.2,1.1,2.3,0.4,0.3,0.1,1,1986,1
33,77130,Buck Johnson,60,8.7,3.8,1.6,3.4,0,0,0.7,1,0.6,0.8,0.7,0.3,0.3,0.6,1986,1
34,78463,Chris Washburn,35,11,3.8,1.6,4.1,0,0,0.5,1.5,1,1.9,0.5,0.2,0.2,1.1,1986,0
35,76703,Dave Feitl,62,8,3.7,1.4,3.3,0,0,0.9,1.1,0.6,1.3,0.4,0.1,0.1,0.6,1986,1
36,77476,Mo Martin,43,6.7,3.4,1.2,3.1,0.1,0.3,1,1.5,0.3,0.7,0.8,0.3,0.1,0.8,1986,0
37,78192,Keith Smith,42,11,3.3,1.4,3.6,0.1,0.2,0.5,0.7,0.3,0.5,1,0.6,0.1,0.7,1986,0
38,78181,Clinton Smith,41,8.3,3.1,1.2,2.9,0,0,0.7,0.9,0.6,0.7,1.1,0.3,0,0.6,1986,0
39,77002,Conner Henry,54,6,2.3,0.9,2.5,0.2,0.8,0.3,0.5,0.1,0.5,0.6,0.2,0,0.5,1986,0
0,121,Patrick Ewing,50,35.4,20,7.7,16.3,0,0.1,4.5,6.1,2.5,6.5,2,1.1,2.1,3.4,1985,1
1,1365,Xavier McDaniel,82,33,17.1,7,14.3,0,0.1,3,4.4,3.7,4.2,2.4,1.2,0.5,3,1985,1
2,252,Karl Malone,81,30.6,14.9,6.2,12.5,0,0,2.4,5,2.1,6.7,2.9,1.3,0.5,3.4,1985,1
3,47,Wayman Tisdale,81,28.1,14.7,6.4,12.4,0,0,2,2.9,2.4,4.9,1,0.4,0.5,2.3,1985,1
4,904,Chris Mullin,55,25.3,14,5.2,11.3,0.1,0.5,3.4,3.8,0.8,1.3,1.9,1.3,0.4,1.4,1985,1
5,786,Gerald Wilkins,81,25,12.5,5.4,11.5,0.1,0.3,1.6,2.9,1.1,1.4,2,0.8,0.1,1.9,1985,1
6,104,Benoit Benjamin,79,26.4,11.1,4.1,8.4,0,0,2.9,3.9,2,5.6,1,0.8,2.6,1.8,1985,1
7,891,Charles Oakley,77,23,9.6,3.6,7,0,0,2.3,3.5,3.3,5.3,1.7,0.9,0.4,2.3,1985,1
8,247,Joe Dumars,82,23.9,9.4,3.5,7.3,0.1,0.2,2.3,2.9,0.7,0.7,4.8,0.8,0.1,1.9,1985,1
9,291,Ed Pinckney,80,20,8.5,3.2,5.7,0,0,2.1,3.2,1.2,2.7,1.1,0.9,0.5,1.9,1985,1
10,402,Jon Koncak,82,20.7,8.3,3.2,6.3,0,0,1.9,3.1,2.1,3.6,0.7,0.5,0.8,1.4,1985,1
11,892,Spud Webb,79,15.6,7.8,2.5,5.2,0,0.1,2.7,3.5,0.3,1.2,4.3,1,0.1,2,1985,1
12,767,Terry Catledge,64,17.1,7.7,3.2,6.7,0,0.1,1.4,2.2,1.7,2.6,0.3,0.5,0.1,1.1,1985,1
13,77361,Keith Lee,58,20.6,7.4,3.1,6.6,0,0.2,1.3,1.7,2,4.1,1.2,0.5,0.6,1.3,1985,0
14,345,Terry Porter,79,15.4,7.1,2.7,5.7,0.2,0.5,1.6,2,0.4,1,2.5,1,0,1.3,1985,1
15,920,A.C. Green,82,18.8,6.4,2.5,4.7,0,0.1,1.2,2,2,2.7,0.7,0.6,0.6,1.2,1985,1
16,96,Detlef Schrempf,64,15.1,6.2,2.2,4.9,0,0.1,1.7,2.4,1.1,2,1.4,0.4,0.2,1.3,1985,1
17,77609,Dirk Minniefield,76,14.9,5.5,2.2,4.6,0.1,0.5,1,1.2,0.6,1.2,3.5,0.9,0,1.4,1985,0
18,77076,Alfredrick Hughes,68,12.7,5.2,2.2,5.5,0,0.3,0.7,1.2,0.7,0.9,0.9,0.4,0.1,0.9,1985,0
19,170,Joe Kleine,80,14.8,5.2,2,4.3,0,0,1.2,1.6,1.4,3.3,0.6,0.3,0.4,1.3,1985,1
20,77481,Bill Martin,66,10.5,5,2.2,4.5,0,0.1,0.7,0.8,0.6,0.9,0.8,0.3,0.1,0.9,1985,0
21,76824,Georgi Glouchkov,49,15.8,4.9,1.7,4.3,0,0,1.4,2.5,0.6,2.7,0.7,0.5,0.5,1.6,1985,0
22,738,Bob Thornton,71,18.6,4.7,1.8,3.9,0,0,1.2,2.3,1.6,2.5,0.6,0.4,0.1,1.2,1985,1
23,78102,Carey Scurry,78,15,4.7,1.8,3.9,0,0.1,1,1.6,1.2,1.9,1.1,1,0.8,1.2,1985,0
24,76960,Steve Harris,57,8.5,4.5,1.8,4.1,0,0.1,0.9,0.9,0.4,0.6,0.9,0.4,0.1,0.6,1985,0
25,174,John Battle,64,10,4.3,1.6,3.5,0,0.1,1.2,1.6,0.2,0.8,1.2,0.4,0,0.7,1985,1
26,77154,Ken Johnson,64,12.7,4.1,1.8,3.3,0,0,0.6,1.3,1.4,2.4,0.3,0.2,0.3,0.9,1985,0
27,77852,Mike Phelps,70,12.6,4,1.7,4.1,0,0.2,0.6,1.1,0.4,0.9,1,0.6,0,0.9,1985,0
28,76195,Manute Bol,80,26.1,3.7,1.6,3.5,0,0,0.5,1.1,1.5,4.4,0.3,0.4,5,0.8,1985,1
29,77946,Jerry Reynolds,55,9.2,3.7,1.3,2.9,0,0,1.1,1.9,0.7,0.8,1.6,0.8,0.3,0.9,1985,1
30,76411,Fred Cofield,45,10.4,3.7,1.7,4.1,0.1,0.3,0.3,0.4,0.1,0.9,1.8,0.4,0.1,1.1,1985,0
31,77509,Dwayne McClain,45,10.2,3.5,1.5,4,0,0.2,0.4,0.8,0.3,0.4,1.5,0.8,0.1,0.9,1985,0
