,Name,games_played,minutes_played,points_scored,goals_scored,goals_attempted,3_point_scored,3_point_attempted,free_throws_scored,free_throws_attempted,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnover,5Yrs,Unnamed: 0,id,name,season
0,Brandon Ingram,36,27.4,7.4,2.6,7.6,0.5,2.1,1.6,2.3,0.7,3.4,1.9,0.4,0.4,1.3,0,,,,
1,Andrew Harrison,35,26.9,7.2,2.0,6.7,0.7,2.8,2.6,3.4,0.5,2.0,3.7,1.1,0.5,1.6,0,,,,
2,JaKarr Sampson,74,15.3,5.2,2.0,4.7,0.4,1.7,0.9,1.3,0.5,1.7,1.0,0.5,0.3,1.0,0,,,,
3,Malik Sealy,58,11.6,5.7,2.3,5.5,0.1,0.5,0.9,1.3,1.0,0.9,0.8,0.6,0.1,1.0,1,,,,
4,Matt Geiger,48,11.5,4.5,1.6,3.0,0.0,0.1,1.3,1.9,1.0,1.5,0.3,0.3,0.4,0.8,1,,,,
5,Tony Bennett,75,11.4,3.7,1.5,3.5,0.3,1.1,0.4,0.5,0.2,0.7,1.8,0.4,0.0,0.7,0,,,,
6,Don MacLean,62,10.9,6.6,2.5,5.8,0.0,0.1,1.5,1.8,0.5,1.4,0.6,0.2,0.1,0.7,1,,,,
7,Tracy Murray,48,10.3,5.7,2.3,5.4,0.4,1.5,0.7,0.8,0.8,0.9,0.2,0.2,0.1,0.7,1,,,,
8,Duane Cooper,65,9.9,2.4,1.0,2.4,0.1,0.5,0.4,0.5,0.2,0.6,2.3,0.3,0.0,1.1,0,,,,
9,Dave Johnson,42,8.5,3.7,1.4,3.5,0.1,0.3,1.0,1.4,0.4,0.7,0.3,0.2,0.0,0.7,0,,,,
10,Corey Williams,35,6.9,2.3,0.9,2.4,0.0,0.1,0.5,0.6,0.5,0.3,0.7,0.1,0.1,0.3,0,,,,
11,Sam Mack,40,6.7,3.6,1.2,3.0,0.1,0.6,1.1,1.5,0.5,0.8,0.4,0.3,0.1,0.6,1,,,,
12,Lorenzo Williams,27,6.6,1.3,0.6,1.3,0.0,0.0,0.1,0.3,0.6,1.4,0.2,0.2,0.6,0.3,1,,,,
13,P.J. Hairston,45,15.3,5.6,1.9,6.0,1.1,3.6,0.7,0.8,0.5,1.6,0.5,0.5,0.3,0.5,0,19.0,203798.0,PJ Hairston,2014.0
14,Elmore Spencer,44,6.4,2.4,1.0,1.9,0.0,0.0,0.4,0.7,0.4,1.0,0.2,0.2,0.4,0.6,1,,,,
15,John Crotty,40,6.1,2.6,0.9,1.8,0.1,0.4,0.7,1.0,0.1,0.3,1.4,0.3,0.0,0.8,1,,,,
16,Stephen Howard,49,5.3,2.1,0.7,1.9,0.0,0.0,0.7,1.1,0.5,0.7,0.2,0.3,0.2,0.5,0,,,,
17,Randy Woods,41,4.2,1.7,0.6,1.6,0.1,0.3,0.5,0.6,0.1,0.2,1.0,0.3,0.0,0.4,0,,,,
18,Larry Johnson,82,37.2,19.2,7.5,15.3,0.1,0.3,4.1,5.0,3.9,7.0,3.6,1.0,0.6,1.9,0,,,,
19,Billy Owens,80,31.4,14.3,5.9,11.1,0.0,0.1,2.6,3.9,3.0,5.0,2.4,1.1,0.8,2.2,1,,,,
20,Stacey Augmon,82,30.5,13.3,5.4,11.0,0.0,0.1,2.6,3.9,2.3,2.8,2.5,1.5,0.3,2.2,1,,,,
